zip_code,state
11368,NY
11220,NY
11373,NY
11385,NY
10467,NY
11219,NY
11226,NY
11236,NY
10025,NY
11234,NY
11211,NY
08701,NJ
11207,NY
11208,NY
10456,NY
11377,NY
11214,NY
11212,NY
10314,NY
11230,NY
11355,NY
11221,NY
11206,NY
11229,NY
11204,NY
10002,NY
10453,NY
10029,NY
11203,NY
11223,NY
10458,NY
10462,NY
11235,NY
10452,NY
11218,NY
10468,NY
11209,NY
10469,NY
10463,NY
10457,NY
07055,NJ
11215,NY
10472,NY
10466,NY
11375,NY
11233,NY
11746,NY
07087,NJ
11210,NY
11706,NY
11434,NY
07002,NJ
08753,NJ
11372,NY
10027,NY
07093,NJ
11213,NY
07305,NJ
11691,NY
10128,NY
11432,NY
07047,NJ
10009,NY
10312,NY
10023,NY
10977,NY
10033,NY
10473,NY
10701,NY
11225,NY
11717,NY
10024,NY
10032,NY
10031,NY
10460,NY
08854,NJ
11550,NY
10003,NY
11201,NY
11354,NY
07728,NJ
08901,NJ
11758,NY
07306,NJ
08527,NJ
11237,NY
07470,NJ
10306,NY
11435,NY
11216,NY
07111,NJ
08861,NJ
07083,NJ
10011,NY
10461,NY
07030,NJ
11238,NY
08873,NJ
07104,NJ
07105,NJ
11420,NY
10016,NY
11419,NY
10459,NY
10451,NY
08831,NJ
07003,NJ
08816,NJ
07052,NJ
10465,NY
10028,NY
11228,NY
11590,NY
07060,NJ
10040,NY
11772,NY
11757,NY
11003,NY
08817,NJ
10475,NY
07960,NJ
07307,NJ
07601,NJ
11520,NY
11743,NY
07726,NJ
11205,NY
11365,NY
08724,NJ
11421,NY
11224,NY
10034,NY
07036,NJ
11756,NY
08902,NJ
07202,NJ
10021,NY
10304,NY
07304,NJ
11374,NY
11413,NY
10952,NY
11367,NY
07032,NJ
11580,NY
10305,NY
10801,NY
07011,NJ
11040,NY
11704,NY
11357,NY
08857,NJ
07666,NJ
10455,NY
11369,NY
10705,NY
11801,NY
08820,NJ
10583,NY
10301,NY
08844,NJ
07302,NJ
10019,NY
10454,NY
11779,NY
10573,NY
11106,NY
07712,NJ
11217,NY
10026,NY
